gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60148.53590897658	3.132559389035157	0.14606453517257667	21.446406448588	4.933229227468969e-102	1.129709493090394e-99
ENSG00000156265	31986.299022439147	3.0015010746896276	0.14610593543344427	20.543320610386175	8.83132487160118e-94	1.0111866977983352e-91
ENSG00000180509	35044.20011736631	3.233156512317572	0.17128612260385545	18.875764499585895	1.8049307644511126e-79	1.3777638168643492e-77
ENSG00000142192	47688.06938529501	3.0914409060539776	0.18253014160937292	16.93660498368469	2.4167577543850382e-64	1.3835938143854344e-62
ENSG00000183527	7912.7721769601585	2.8343189009338876	0.16931470570506504	16.739945234710344	6.704984603472837e-63	3.070882948390559e-61
ENSG00000159128	10519.11679329336	2.495885944711448	0.1537277290930698	16.235756290918662	2.8175386087617375e-59	1.0753605690107297e-57
ENSG00000142168	6494.630513928838	2.9852550697961484	0.22478870471491533	13.280271682610344	3.0129900436945916e-40	9.856781714372307e-39
ENSG00000160307	4689.239331341264	3.3581234507941957	0.28741084813861195	11.684052542006508	1.5378482344857213e-31	4.402090571215377e-30
ENSG00000159197	1665.3766167024348	2.238929255894913	0.2031454743670343	11.021310038390094	3.0163681030126424e-28	7.674981062109945e-27
ENSG00000160284	7005.960546475803	3.449918198916437	0.5548002724905073	6.218306605059328	5.025488450367479e-10	1.1508368551341527e-8
ENSG00000183421	2747.3201496488005	-0.6362447693048838	0.17978852620704158	-3.53885079725385	4.018729263233292e-4	0.008366263648003852
ENSG00000166265	1156.3026975045573	-0.6744083177397904	0.20837822715956236	-3.2364624986629376	0.0012102112692788229	0.0230948650554042
ENSG00000156256	5806.500592181519	-0.4452953959239648	0.14634355640415703	-3.04280835361273	0.0023438154958855813	0.04128721142752294
ENSG00000272804	578.1894027047724	-1.0486861488096242	0.35723660589652706	-2.9355506448669324	0.003329562549673474	0.05446213027680183
ENSG00000154736	2764.180772926014	-0.6499500273284602	0.22793924122514347	-2.8514178771284144	0.004352472763949904	0.06644775086296853
ENSG00000184900	2641.7413737743154	0.5395962672431446	0.1957918262327816	2.7559693253057747	0.005851848466622793	0.08375458117853872
ENSG00000285815	1192.3435754606478	-0.5568921988851083	0.21478103862354805	-2.592836883805124	0.009518790493450361	0.12822370723530194
ENSG00000275464	3625.813591486138	-0.4511186991141238	0.1785664455008387	-2.5263352129166115	0.011525944627944125	0.1466356288777336
ENSG00000154721	4215.05352417943	-0.46898356357719334	0.19184359751299102	-2.444614100532781	0.01450072047031794	0.17477184145804253
ENSG00000184351	193.20090394440555	0.9782729967276078	0.4154900947839063	2.3545037752016715	0.018547455301303636	0.2123683631999266
ENSG00000142178	2034.199924328405	0.5075037506778864	0.21732986896142745	2.3351771806753363	0.019534166705998234	0.2130154369368379
ENSG00000157542	8979.65826034197	0.4077247702473892	0.18108932010158107	2.2515119611619183	0.024353130174654465	0.24450919634165058
ENSG00000156284	755.6503143125044	-0.6261003229923772	0.278478431009332	-2.2482901843532583	0.024557692208986737	0.24450919634165058
ENSG00000156282	399.6235152167113	-0.8591202650612103	0.38533850067331465	-2.2295209628937704	0.025779262107823386	0.24597712594548146
ENSG00000160213	3466.7155216607825	0.4627170197620178	0.22663369008317694	2.0416956525404313	0.04118173028743053	0.37722464943286366
ENSG00000186965	136.93387047984274	-0.9399006707928119	0.4741038084558588	-1.9824786344873264	0.04742569633761874	0.4126757273679605
ENSG00000160282	4489.114444184568	0.33688227268590276	0.17086806326385973	1.971592972091448	0.04865609012635342	0.4126757273679605
ENSG00000184724	162.0278887519174	0.8447712429058281	0.4359493860254387	1.9377736727825867	0.05265084109585727	0.4306086646768327
ENSG00000205929	1291.5268369165096	-0.39200768850068635	0.2086471846456457	-1.8788065085395211	0.06027091803128349	0.47593242169530753
ENSG00000171189	8603.085955754996	-0.31703876339821335	0.17137139094768164	-1.8500098624688344	0.06431212812904079	0.4795499289566405
ENSG00000160214	4552.722994859049	0.317693982097538	0.1721146542584894	1.8458276168652736	0.06491723929107361	0.4795499289566405
ENSG00000205670	1965.4556717179225	0.40591881647175176	0.22428800076948238	1.809810667887423	0.07032515302511458	0.48980823657942546
ENSG00000160216	13268.765720582654	0.29104677901684706	0.1609641677997932	1.8081463905609743	0.07058371968175127	0.48980823657942546
ENSG00000142182	1437.78157487762	0.4362762328067142	0.25724380438060934	1.6959640052641052	0.08989269695620641	0.5354424702206998
ENSG00000154734	4209.154302197968	-0.31308766686529366	0.1849825551996037	-1.6925253655808752	0.09054584791055977	0.5354424702206998
ENSG00000156239	3403.0570381094326	-0.40009742282742655	0.23835275445555112	-1.678593661488557	0.09323126273371025	0.5354424702206998
ENSG00000159082	13438.994698968101	0.28390217155308195	0.16913581132778094	1.6785455979094026	0.09324063669103351	0.5354424702206998
ENSG00000244362	175.6151291445902	0.715796284291902	0.42878278347824844	1.669368062041636	0.09504445911489659	0.5354424702206998
ENSG00000183778	7338.313732007671	-0.2928858727957656	0.17556523273108302	-1.66824529116414	0.09526704338811426	0.5354424702206998
ENSG00000156299	8645.22385945094	0.27294190598611257	0.1643556875652927	1.6606781914844437	0.09677809567639477	0.5354424702206998
ENSG00000205581	7601.909309439438	0.26490951665823187	0.15987066456431978	1.6570239285622814	0.097514637404310045	0.5354424702206998
ENSG00000159263	4655.530464314553	-0.3734274725760114	0.22582334637107868	-1.6536265119479092	0.09820342248589253	0.5354424702206998
ENSG00000185437	2334.901449590241	0.39671634864300404	0.24824540465061024	1.598081338912828	0.1100248761104868	0.5859464332395692
ENSG00000182240	6918.766865451155	-0.36807807234000356	0.23443383355193215	-1.5700723174774445	0.11639828792861283	0.6058001803557349
ENSG00000244025	206.1648410099311	0.758811752806788	0.4886486579455268	1.5528780044073676	0.12045228253689742	0.6129682822433224
ENSG00000186866	8023.930009892883	-0.2560863671486175	0.16800110728551895	-1.5243135672516555	0.12743039960600241	0.6343817719516207
ENSG00000205445	534.1273171897212	0.4634759444500128	0.3091578694918534	1.49915622465572	0.13383310839428106	0.6428802439473758
ENSG00000277277	617.3153141487977	0.5744335634760683	0.3858176982439581	1.4888730249819844	0.1365208080741582	0.6428802439473758
ENSG00000160233	2199.9470441363255	0.4772947349023623	0.3214234269604193	1.4849407195236497	0.13755952818087955	0.6428802439473758
ENSG00000177692	2184.1196519742252	-0.26863395588071887	0.18494813020969403	-1.4524826802852342	0.1463674415398135	0.6703628822523457
ENSG00000160221	5503.1797013974265	-0.23091410479926588	0.16025858671375837	-1.4408844451605392	0.1496173312151007	0.671811153887413
ENSG00000142149	3849.603751104211	0.2776344181656873	0.19873175221116252	1.3970309982004623	0.16240424973062892	0.7152033305445005
ENSG00000221837	757.81780575162	-0.3958480106480307	0.2997326243270282	-1.3206704193005505	0.1866112813870291	0.7952099678562519
ENSG00000215455	332.76176353757694	0.4568530858522198	0.3474304118025476	1.3149484625769017	0.18852722379837059	0.7952099678562519
ENSG00000241123	328.09164305906177	-0.48664794636049746	0.37513270713572733	-1.2972687720999563	0.19453872517727738	0.7952099678562519
ENSG00000142156	4387.255093116759	-0.2616154546909021	0.20167537940349828	-1.2972106732348316	0.19455870932467118	0.7952099678562519
ENSG00000154640	1526.295835882929	0.25807291262744	0.20045136734348254	1.2874589784424881	0.1979343588113815	0.7952099678562519
ENSG00000154639	2869.685871090611	-0.2730192451070743	0.22310076282259972	-1.2237485952666494	0.22104708150800567	0.87275485629885
ENSG00000249209	473.0164427291223	0.4179012516845329	0.3450569562123108	1.2111080335021607	0.22585400290962737	0.8766197740051639
ENSG00000212938	180.99209690347155	-0.48538358230984485	0.426552654924947	-1.137921840845767	0.2551531203695353	0.9738344094103931
ENSG00000160226	4140.040221744642	0.21416972750407526	0.19170341250236744	1.1171930885759813	0.26391177509244573	0.9786030374784596
ENSG00000198862	9989.965261460884	-0.19667782428965225	0.17951464483260526	-1.0956087982295337	0.2732500097464035	0.9786030374784596
ENSG00000186980	72.30234966765568	-0.658270472358722	0.6384521594307964	-1.0310411870884648	0.3025215057700226	0.9786030374784596
ENSG00000221859	262.76810917939713	-0.36536945306664775	0.35899351570401394	-1.0177605919988	0.30879174415026794	0.9786030374784596
ENSG00000212935	338.49788782450463	0.386533140760811	0.3844600874882255	1.0053921156969226	0.31470807482255525	0.9786030374784596
ENSG00000197381	15701.526809986126	0.2250275677419768	0.2257406816876542	0.9968410038441183	0.3188416917240562	0.9786030374784596
ENSG00000160285	8797.059668409009	0.20695768863814554	0.20832387788389836	0.9934419939776936	0.32049460526759993	0.9786030374784596
ENSG00000166979	5836.699578683513	-0.16689402174548185	0.16842315540942507	-0.9909208822253329	0.321724214738924	0.9786030374784596
ENSG00000242220	1915.0464120341085	-0.25177416756252974	0.2584035636089123	-0.9743447963573134	0.3298853693137017	0.9786030374784596
ENSG00000280433	1961.6602717198862	-0.20279538104593792	0.2094890506786024	-0.9680476396690827	0.33302057793830714	0.9786030374784596
ENSG00000189169	409.1944713021761	-0.32948233455824366	0.34140211460189157	-0.9650858048798334	0.3345018362639205	0.9786030374784596
ENSG00000183145	2155.51968214512	0.2559078231463903	0.2694038623647723	0.94990406187975	0.3421610027350478	0.9786030374784596
ENSG00000273590	3313.707710746181	-0.16197931420715087	0.1722772290450885	-0.9402247476638804	0.3471022902062807	0.9786030374784596
ENSG00000157551	12680.050816890258	-0.1640591128302505	0.17820412795089416	-0.9206246494775842	0.35724642832331593	0.9786030374784596
ENSG00000185658	19302.102719030907	0.14950813133054483	0.16318254480249628	0.9162017390493455	0.35956109355654003	0.9786030374784596
ENSG00000182670	25438.284694195103	0.15542036017950372	0.16981292210624901	0.915244601245716	0.3600632348572183	0.9786030374784596
ENSG00000159079	3727.285349581186	-0.17143582528039045	0.1943674096346471	-0.8820193961664602	0.37776631841182295	0.9786030374784596
ENSG00000160191	15290.302841283126	0.12190585657377835	0.13986154710706467	0.8716181044419511	0.38341675066641934	0.9786030374784596
ENSG00000154727	3362.8324222617503	-0.14704181531166396	0.17080237234543705	-0.8608886006236561	0.38929940059059975	0.9786030374784596
ENSG00000184221	1337.5479668391226	0.24663171887663612	0.28689835271312286	0.8596484313845106	0.38998286925092074	0.9786030374784596
ENSG00000155307	5571.6379196127555	0.18369225893168326	0.21457234799287453	0.8560854213040688	0.39195053195126317	0.9786030374784596
ENSG00000160294	8446.205041461924	0.180226730070225	0.21054475218799804	0.8560020052615621	0.3919966702728161	0.9786030374784596
ENSG00000157554	16947.106929208643	-0.15478994150210645	0.18134615930559733	-0.8535606273373598	0.3933484818934452	0.9786030374784596
ENSG00000183486	7065.799019630811	-0.13954549127923777	0.16553768108762376	-0.8429832432252836	0.3992378154880163	0.9786030374784596
ENSG00000184787	5869.352219076187	-0.174160678161805	0.20726604196389395	-0.8402759878636754	0.4007536614795983	0.9786030374784596
ENSG00000160209	13748.14253768531	-0.12052048280860152	0.14393161879682165	-0.837345427058192	0.40239843162582983	0.9786030374784596
ENSG00000159086	5680.436600968783	0.1429607760664744	0.17789113155828074	0.8036419511988856	0.4216037877729007	0.9786030374784596
ENSG00000160200	7849.707590969664	-0.12199429126951611	0.15297133455953119	-0.797497724791308	0.42516202369703376	0.9786030374784596
ENSG00000279493	205.82176526468282	-0.45624260728728583	0.5805459102359669	-0.7858854902652623	0.43193457582871336	0.9786030374784596
ENSG00000182816	277.3788910953609	-0.2911442540584345	0.37077355266901596	-0.78523468559888	0.4323159823763015	0.9786030374784596
ENSG00000142173	6154.399869200681	-0.1503817969731891	0.1920516594082272	-0.7830278448859213	0.433610760826709	0.9786030374784596
ENSG00000141956	20870.322186195335	-0.11094255623411114	0.14255335117335977	-0.7782528809104838	0.4364199475459033	0.9786030374784596
ENSG00000276612	647.1988592290328	0.29278181752125165	0.38157668352322105	0.7672948326346944	0.44290624004399215	0.9786030374784596
